Elsődleges forrás;Terület;Megye;Járás;rekodszám;gimmisn;govcenter_id;komdat_id;last_update;check_date;url
asp;Garbolc;Szabolcs-Szatmár-Bereg;Fehérgyarmati;;;;;;;https://garbolc.asp.lgov.hu/nyilvantartasok
oknyir;Gárdony;Fejér;Gárdonyi;280;I;;;2022.11.29;2022.12.01;
asp;Geszt;Békés;Sarkadi;;;;;;;https://geszt.asp.lgov.hu/nyilvantartasok
govcenter;Göd;Pest;Dunakeszi;;I;24;;2018.12.04;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=24
asp;Gödöllő;Pest;Gödöllői;407;I;;;2025.04.09;2025.04.23;https://godollo.asp.lgov.hu/nyilvantartasok
komdat;Gyál;Pest;Gyáli;;;237;320e08a3-d8d1-4628-8de0-3171aa545195;2015.06.25;2020.08.01;https://iparkerpublikalas.komdat.hu/?onkid=320e08a3-d8d1-4628-8de0-3171aa545195
asp;Gyermely;Komárom-Esztergom;Tatabányai;;;;;;;https://gyermely.asp.lgov.hu/nyilvantartasok
oknyir;Gyomaendrőd;Békés;Gyomaendrődi;289;I;59;;2022.11.21;2022.12.01;
govcenter;Gyömrő;Pest;Monori;;;60;;2017.12.20;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=60
oknyir;Gyöngyös;Heves;Gyöngyösi;832;I;;;2022.11.29;2022.12.01;
asp;Gyöngyöstarján;Heves;Gyöngyösi;;;;;;;https://gyongyostarjan.asp.lgov.hu/nyilvantartasok
govcenter;Győr;Győr-Moson-Sopron;Győri;9155;I;518;;2025.04.23;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=518
asp;Győr;;;;;;;;;
asp;Györe;Tolna;Bonyhádi;;;;;;;https://gyore.asp.lgov.hu/nyilvantartasok
asp;Gyula;Békés;Gyulai;1602;I;;;2025.04.22;2025.04.23;https://gyula.asp.lgov.hu/nyilvantartasok
govcenter;Hajdúböszörmény;Hajdú-Bihar;Hajdúböszörményi;;;61;;2018.12.27;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=61
asp;Hajdúnánás;Hajdú-Bihar;Hajdúnánási;;;11;;2017.12.04;2020.08.01;https://hajdunanas.asp.lgov.hu/nyilvantartasok
govcenter;Hajdúszoboszló;Hajdú-Bihar;Hajdúszoboszlói;;;572;;2018.12.27;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=572
asp;Halastó;Vas;Körmendi;;;;;;;https://halasto.asp.lgov.hu/nyilvantartasok
komdat;Halásztelek;Pest;Szigetszentmiklósi;;;50;f44b5de5-e203-42ec-8d55-93be5f17f2b9;2018.11.30;2020.08.01;https://iparkerpublikalas.komdat.hu/?onkid=f44b5de5-e203-42ec-8d55-93be5f17f2b9
komdat;Harkakötöny;Bács-Kiskun;Kiskunhalasi;;;;AECB4F1B-C04C-4B6E-B62C-DF739C3D7113;;;https://iparkerpublikalas.komdat.hu/?onkid=AECB4F1B-C04C-4B6E-B62C-DF739C3D7113
asp;Harsány;Borsod-Abaúj-Zemplén;Miskolci;;;;;;;https://harsany.asp.lgov.hu/nyilvantartasok
oknyir;Hatvan;Heves;Hatvani;;I;;;;;
asp;Hercegszántó;Bács-Kiskun;Bajai;;;;;;;https://hercegszanto.asp.lgov.hu/nyilvantartasok
asp;Hét;Borsod-Abaúj-Zemplén;Putnoki;;;;;;;https://het.asp.lgov.hu/nyilvantartasok
govcenter;Heves;Heves;Hevesi;;;52;;2017.12.11;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=52
asp;Hévíz;Zala;Keszthelyi;;;;;;;https://heviz.asp.lgov.hu/nyilvantartasok
asp;Hirics;Baranya;Sellyei;;;;;;;https://hirics.asp.lgov.hu/nyilvantartasok
govcenter;Hódmezővásárhely;Csongrád-Csanád;Hódmezővásárhelyi;2399;I;555;;2024.12.10;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=555
asp;Homorúd;Baranya;Mohácsi;;;;;;;https://homorud.asp.lgov.hu/nyilvantartasok
asp inaktív;Hosszúhetény;Baranya;Pécsi;;;;;;2022.04.05;https://hosszuheteny.asp.lgov.hu/nyilvantartasok
oknyir;Hosszúpályi;Hajdú-Bihar;Derecskei;51;I;;;2022.06.30;2022.12.01;
asp;Hövej;Győr-Moson-Sopron;Kapuvári;;;;;;;https://hovej.asp.lgov.hu/nyilvantartasok
asp;Inárcs;Pest;Dabasi;;;;;;;https://inarcs.asp.lgov.hu/nyilvantartasok
asp;Ipolydamásd;Pest;Szobi;;;497;;2005.06.01;2020.08.01;https://ipolydamasd.asp.lgov.hu/nyilvantartasok
govcenter;Ipolytölgyes;Pest;Szobi;;;495;;2008.12.09;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=495
asp;Isaszeg;Pest;Gödöllői;;;;;;;https://isaszeg.asp.lgov.hu/nyilvantartasok
komdat;Izmény;Tolna;Bonyhádi;;;;29183e5e-0378-4ed3-9e6d-5aa95cf5238a;;;https://iparkerpublikalas.komdat.hu/?onkid=29183e5e-0378-4ed3-9e6d-5aa95cf5238a
asp;Jakabszállás;Bács-Kiskun;Kecskeméti;65;;61;;2024.10.21;2025.04.23;https://jakabszallas.asp.lgov.hu/nyilvantartasok
asp;Jánoshalma;Bács-Kiskun;Jánoshalmai;244;I;;;2025.03.07;2025.04.23;https://janoshalma.asp.lgov.hu/nyilvantartasok
asp;Jászkarajenő;Pest;Ceglédi;;;118;;2017.02.07;2020.08.01;https://jaszkarajeno.asp.lgov.hu/nyilvantartasok
komdat;Jászszentandrás;Jász-Nagykun-Szolnok;Jászapáti;;;;b80d09b5-5de7-4d5b-bfca-0d1bfcc0d53d;;;https://iparkerpublikalas.komdat.hu/?onkid=b80d09b5-5de7-4d5b-bfca-0d1bfcc0d53d
asp;Jásztelek;Jász-Nagykun-Szolnok;Jászberényi;;;;;;;https://jasztelek.asp.lgov.hu/nyilvantartasok
asp;Jósvafő;Borsod-Abaúj-Zemplén;Putnoki;;;;;;;https://josvafo.asp.lgov.hu/nyilvantartasok
asp;Kakasd;Tolna;Bonyhádi;;;559;;2016.12.16;2020.08.01;https://kakasd.asp.lgov.hu/nyilvantartasok
asp;Kamut;Békés;Békési;8;I;;;2025.01.03;2025.04.23;https://kamut.asp.lgov.hu/nyilvantartasok
asp;Kánó;Borsod-Abaúj-Zemplén;Putnoki;;;;;;;https://kano.asp.lgov.hu/nyilvantartasok
asp;Kántorjánosi;Szabolcs-Szatmár-Bereg;Mátészalkai;;;;;;;https://kantorjanosi.asp.lgov.hu/nyilvantartasok
oknyir;Kápolnásnyék;Fejér;Gárdonyi;46;I;;;2022.09.22;2022.12.01;
govcenter;Kaposvár;Somogy;Kaposvári;6132;I;646;;2025.04.15;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=646
komdat;Kapuvár;Győr-Moson-Sopron;Kapuvári;;;;281925d4-44f2-4049-9418-da7df61c75d3;;;https://iparkerpublikalas.komdat.hu/?onkid=281925d4-44f2-4049-9418-da7df61c75d3
asp;Karancsság;Nógrád;Salgótarjáni;;;;;;;https://karancssag.asp.lgov.hu/nyilvantartasok
oknyir;Kaskantyú;Bács-Kiskun;Kiskőrösi;7;I;;;2021.01.12;2022.12.01;
asp;Katymár;Bács-Kiskun;Bácsalmási;;;;;;;https://katymar.asp.lgov.hu/nyilvantartasok
